Source,Target
66,-2133384419
78,-2105812682
66,-2105812682
1012444188,-2105812682
-1907187532,-2105812682
1579768016,-2105812682
-1907187532,-2035136547
-179118744,-2035136547
1579768016,-2035136547
1012444188,-2035136547
66,-2035136547
70760,-2035136547
78,-2035136547
66,-1986859803
1012444188,-1986859803
-1907187532,-1986859803
78,-1986859803
1579768016,-1986859803
66,-1968932539
-1907187532,-1968932539
66,-1952995287
1579768016,-1952995287
-1907187532,-1952995287
1012444188,-1952995287
78,-1952995287
66,-1936711904
-1907187532,-1904006167
78,-1904006167
1579768016,-1904006167
1012444188,-1904006167
66,-1904006167
1012444188,-1868468099
66,-1868468099
78,-1868468099
-1907187532,-1868468099
66,-1819579479
153173996,-1819579479
-1907187532,-1790981625
1006728698,-1790981625
1098638650,-1790981625
1012444188,-1790981625
1579768016,-1790981625
66,-1790981625
78,-1790981625
88,-1790981625
78,-1786549397
78,-1712937727
-1907187532,-1711568629
66,-1711568629
1012444188,-1711568629
1579768016,-1711568629
78,-1711568629
-1907187532,-1677362655
78,-1677362655
66,-1677362655
-1907187532,-1637433181
78,-1637433181
66,-1625907972
78,-1625907972
-1907187532,-1625907972
78,-1611414542
66,-1611414542
-1907187532,-1545904379
66,-1545904379
88,-1543565699
66,-1543565699
-1907187532,-1543565699
78,-1543565699
1579768016,-1519686966
1012444188,-1519686966
-1907187532,-1519686966
66,-1519686966
78,-1519686966
1579768016,-1491365381
78,-1491365381
66,-1491365381
-1907187532,-1491365381
1012444188,-1491365381
66,-1450517635
78,-1450517635
1012444188,-1450517635
-1907187532,-1450517635
1579768016,-1450517635
78,-1447156659
66,-1392639743
78,-1392639743
1012444188,-1392639743
-1907187532,-1392639743
78,-1392533590
64956,-1392533590
66,-1392533590
-1907187532,-1379059852
78,-1379059852
66,-1379059852
1012444188,-1379059852
1688541461,-1379059852
78,-1369435990
66,-1355255105
66,-1352924307
-1907187532,-1340160577
66,-1340160577
1012444188,-1340160577
1579768016,-1340160577
78,-1340160577
78,-1310445915
66,-1310445915
66,-1294751832
78,-1294751832
78,-1242547016
66,-1242547016
1579768016,-1242547016
-1907187532,-1242547016
1012444188,-1242547016
66,-1234293412
78,-1219286717
66,-1195452478
78,-1195452478
78,-1095649345
66,-1095649345
-1907187532,-1090821584
66,-1090821584
78,-1090821584
-1907187532,-1088697788
66,-1085681396
78,-1085681396
-1907187532,-1085681396
1579768016,-1085681396
1012444188,-1085681396
-1091799924,-1080020801
66,-1080020801
78,-1080020801
88,-1079987685
-1907187532,-1079987685
1012444188,-1079987685
66,-1079987685
78,-1079987685
1579768016,-1079987685
66,-1062648600
69443,-1062648600
1012444188,-1062648600
1579768016,-1062648600
-1907187532,-1062648600
78,-1062648600
-1907187532,-1027689709
78,-1027689709
1012444188,-1027689709
66,-1027689709
1579768016,-1027689709
671954723,-1021838904
66,-1021838904
-1907187532,-1021838904
1012444188,-999518953
-1907187532,-999518953
66,-999518953
78,-999518953
88,-999518953
1579768016,-991717484
66,-991717484
78,-991717484
-1907187532,-991717484
1012444188,-991717484
78,-981779634
66,-979966524
78,-978667013
1012444188,-978667013
-1907187532,-978667013
66,-978667013
1579768016,-978667013
-1907187532,-960019943
66,-960019943
-1907187532,-949146920
-1907187532,-932016320
66,-932016320
-517280460,-932016320
78,-932016320
-1907187532,-928901168
78,-928901168
66,-928901168
78,-891756955
66,-875380015
-1907187532,-875380015
78,-875380015
78,-874847205
88,-874847205
66,-874847205
66,-865139833
1987151953,-856816131
66,-822056362
78,-819946422
66,-760382139
-1907187532,-760382139
-1907187532,-756767779
1579768016,-756767779
66,-756767779
1012444188,-756767779
78,-756767779
