Source,Target
-2136484562,-142686593
-2135477310,1650054166
-2128335701,859346478
-2104997397,-1832447664
-2104997397,87247108
-2104997397,1596614813
-2097693708,-1915798964
-2097693708,-868823982
-2097380011,-2074951365
-2097380011,-1957912263
-2097380011,-1778800562
-2097380011,-1357804521
-2097380011,-1014789402
-2097380011,-957748078
-2097380011,-794971571
-2097380011,-693452556
-2097380011,-239115722
-2097380011,-91045489
-2097380011,57217027
-2089641482,-1847082000
-2089641482,-1175259340
-2089641482,-274207314
-2089641482,-143606145
-2089641482,-364092
-2089641482,943747384
-2089641482,1833591669
-2089641482,1861354906
-2077377141,829842499
-2075920919,-463369
-2075920919,1359217450
-2074951365,-2010278352
-2074951365,-888443454
-2074951365,-868823982
-2074951365,-239115722
-2074951365,-133198922
-2074951365,-130025243
-2074951365,-1131586
-2074951365,70532529
-2074951365,78530896
-2074951365,324210827
-2074951365,735721824
-2074951365,1025846830
-2074951365,1555628211
-2074951365,1857443436
-2070025840,-1487362887
-2070025840,-88160967
-2064976419,-1690491820
-2064976419,-1597844656
-2064976419,-993947859
-2064976419,-239115722
-2064976419,89386533
-2064976419,108906685
-2064976419,169752951
-2064976419,707097214
-2064976419,735721824
-2064976419,1114540939
-2064976419,1589710134
-2064976419,1741524107
-2063837439,-868823982
-2048213367,1684902694
-2043836973,1555628211
-2039914375,-868823982
-2039914375,1609161092
-2027691124,-1799311532
-2027691124,-1726143883
-2027691124,-1487362887
-2027691124,-1212859373
-2027691124,-1014789402
-2027691124,-921394040
-2027691124,-700303611
-2027691124,-239115722
-2027691124,-130025243
-2027691124,-23607567
-2027691124,169752951
-2027691124,1428141498
-2025326034,-1943392658
-2025326034,-1756475904
-2025231764,134489348
-2022898213,-130025243
-2017539901,711551555
-2017539901,741042310
-2017539901,1549530554
-2016773491,-1064042508
-2016773491,-868823982
-2016773491,-693452556
-2016773491,214809866
-2016773491,1555628211
-2016773491,1781393063
-2016773491,1813501647
-2014765453,-130025243
-2011390181,1331331028
-2010278352,-1597844656
-2010278352,-788157583
-2010278352,-88160967
-2010278352,214809866
-2010278352,297251960
