Source,Target
-1487362887,1428141498
-2064976419,89386533
-1619835694,1484174238
1607480687,1661418556
-203187918,-62688778
-885754705,1744467030
579858231,-1213500485
244448152,1944843306
468238179,-868823982
-1920582690,-443669391
968836682,1776509274
1533915454,-654873585
78563623,-471165616
57217027,-1919096019
-2010278352,297251960
1761209006,-1544344220
-1669814421,1147874834
1652872772,143879144
992906719,-980190984
-884572971,-885829975
-845322360,740117774
1853535492,-943923335
1861354906,854368802
89386533,146039658
826758591,1331331028
595384337,986081200
624372661,1602864164
-53012702,1607451981
230566011,-1832244295
2042328134,14287695
-1518438537,-1919096019
-875656547,910167999
-34186337,-130025243
-804654379,-1843872004
1795287747,1720056351
-957748078,-1845984256
-770463628,1094214645
-622118305,-1062292040
-1776121231,-980190984
854224553,-1847082000
-2016773491,1813501647
-1130591582,742975941
-993947859,-794971571
-1706197938,-906082413
-1705050063,1609161092
1833591669,-861147860
1813501647,-806939064
944604587,-4881268
833597126,743808873
490322074,-1888877086
542153833,-1951682930
-298407455,-915221875
-1619835694,-868823982
855763548,831515564
1761209006,1659214265
-668946953,799380211
-660502543,-1072318022
944416791,-1006855883
-1242305744,615216175
760422139,141231400
-63938029,104388377
-1872597835,740117774
-130025243,297251960
-91045489,1533915454
1546195829,-176605602
-1449725126,-1619835694
-1603247809,83582622
-364092,-1286745565
-917305131,-471165616
-79575549,-731461384
-1423067140,-1776208497
-1915798964,-1122864713
-1122864713,749540821
-1712274766,1767421152
-2025326034,-1943392658
-1212859373,-411768038
1742227899,1628543018
51502707,854368802
134489348,-817412349
1609161092,-91045489
-1072318022,1628543018
-700303611,-62688778
169369302,977490562
-1523198446,-1719659094
542153833,-993947859
-1835493952,740117774
-731461384,46887799
1607480687,-1778355713
-330797151,-1832447664
-1951682930,57217027
1828769552,854368802
735721824,1767421152
745744578,84532314
-1128657732,-1776121231
-2128335701,859346478
832500656,-1835493952
905066317,1742194695
-471165616,-1695709054
-419269542,-744916574
-1977743520,1546195829
161768515,1746036768
-921394040,-411768038
-1894310667,542153833
202890150,-804049574
-1902874499,-1920582690
832500656,1825839471
1479192472,700062927
-1549797832,-715923998
-2074951365,-133198922
214809866,-1567037110
887104736,839395146
-1705050063,-1753118089
742975941,-1018663348
-1888877086,1628543018
146039658,242103037
-637610012,-1213500485
799380211,-1721310504
1546195829,195450292
60284371,-993947859
-23607567,-657765426
1744467030,-118726038
-1919096019,-1799311532
-1449725126,-1900809864
1094214645,-799704526
1574152808,-919151438
587272310,771575177
-330797151,25514268
792091019,-868823982
624372661,1625176699
-1633779745,-1633780794
438054,1580709112
85398046,740117774
1833591669,78563623
-232317873,-1074782708
-1718775422,-1922334462
-876957322,-1922334462
161768515,-744916574
134489348,1331331028
-1603242205,-53012702
-144405761,854368802
1628543018,-1920582690
1719108652,1607480687
-913067334,986081200
1592947730,-1072292168
-713987545,-232317873
490322074,-1072318022
-124877248,1767421152
